,Away,Away_Score,Location,Home,Home_Score,OT,Notes,Date,Conference,Season
3,Columbia,0,at,Yale,5,,,1900-11-30,Intercollegiate,1901
5,Quaker City HC,3,at,Yale,1,,,1900-11-30,Non-Conference,1901
1,Yale,0,at,St. Nick's,7,,1,1900-12-08,Non-Conference,1901
7,Yale,5,at,Bankers (Pitt.),5,,,1901-01-02,Non-Conference,1901
9,Yale,1,at,Duquesne,5,,,1901-01-03,Non-Conference,1901
11,Yale,2,at,Pitt. Keystones,7,,,1901-01-04,Non-Conference,1901
13,Yale,2,at,Pittsburgh AC,6,,,1901-01-05,Non-Conference,1901
15,Brown,6,at,Pennsylvania,2,,,1901-01-18,Non-Conference,1901
17,Princeton,0,vs.,Yale,5,,2,1901-01-19,Intercollegiate,1901
19,Harvard,1,at,Brown,0,,,1901-01-23,Non-Conference,1901
23,Brown,2,at,Harvard,9,,,1901-02-02,Non-Conference,1901
21,Pennsylvania,0,vs.,Yale,15,,2,1901-02-02,Intercollegiate,1901
25,Brown,1,at,Yale,0,,,1901-02-07,Intercollegiate,1901
27,Harvard,4,vs.,Yale,0,,2,1901-02-11,Non-Conference,1901
29,MIT,2,at,Brown,2,,,1901-02-16,Non-Conference,1901
31,Yale,0,vs.,Harvard,4,,2,1901-02-17,Non-Conference,1901
33,Swarthmore,1,vs.,Cornell,4,,3,1901-02-28,Non-Conference,1901
35,Brown,3,at,Princeton,0,,,1901-03-01,Non-Conference,1901
36,Cornell,4,at,Pennsylvania,1,,,1901-03-01,Non-Conference,1901
38,Brown,8,at,Columbia,2,,,1901-03-02,Non-Conference,1901
40,Princeton,2,vs.,Cornell,4,,3,1901-03-03,Non-Conference,1901
42,Brown,0,at,Yale,9,,,1901-03-16,Intercollegiate,1901
44,Brown,1,at,Yale,5,,,1901-03-20,Intercollegiate,1901
46,Yale,4,at,St. Nick's,2,,,1901-12-05,Non-Conference,1902
48,Yale,1,at,New York A.C.,4,,,1901-12-14,Non-Conference,1902
50,Yale,2,at,Pittsburgh AC,5,,,1902-01-02,Non-Conference,1902
52,Yale,2,at,Pitt. Keystones,6,,,1902-01-03,Non-Conference,1902
54,Yale,2,at,Bankers (Pitt.),3,,,1902-01-04,Non-Conference,1902
55,Yale,2,at,All Scholastic,0,,,1902-01-04,Non-Conference,1902
57,Princeton,0,vs.,Yale,7,,1,1902-01-15,Intercollegiate,1902
59,Harvard,4,at,Columbia,3,,,1902-01-18,Intercollegiate,1902
61,Brown,1,vs.,Yale,11,,1,1902-01-25,Non-Conference,1902
63,Yale Alumni,3,vs.,Yale,4,,1,1902-01-29,Non-Conference,1902
65,Brown,1,at,Andover Acad.,7,,,1902-02-01,Non-Conference,1902
69,Crescent AC,9,vs.,Yale,2,,1,1902-02-08,Non-Conference,1902
67,Brown,1,at,Harvard,7,,,1902-02-08,Intercollegiate,1902
71,Yale,4,at,Short Hills (NJ),2,,,1902-02-10,Non-Conference,1902
73,Brown,0,at,Princeton,3,,,1902-02-13,Non-Conference,1902
75,Harvard,3,vs.,Yale,4,,1,1902-02-15,Intercollegiate,1902
77,Brown,5,at,MIT,0,,,1902-02-15,Non-Conference,1902
79,18,0,vs.,Yale,5,,1,1902-02-22,Non-Conference,1902
81,Brown,5,at,Columbia,4,,,1902-02-25,Non-Conference,1902
83,Short Hills (NJ),4,vs.,Yale,4,,1,1902-02-28,Non-Conference,1902
85,Harvard,6,at,Princeton,3,,,1902-03-01,Intercollegiate,1902
87,Yale,9,at,Columbia,2,,,1902-03-06,Intercollegiate,1902
89,Heffley School,2,vs.,Yale,7,,1,1902-03-07,Non-Conference,1902
91,Harvard,3,vs.,Yale,5,,1,1902-03-14,Intercollegiate,1902
93,Yale,4,vs.,Harvard,1,,1,1902-03-15,Intercollegiate,1902
95,Harvard,1,vs.,Yale,4,,1,1902-03-17,Intercollegiate,1902
99,Yale,3,at,Pittsfield H.S.,6,,,1902-11-30,Non-Conference,1903
100,Crescent AC,14,vs.,Yale,0,,1,1902-11-30,Non-Conference,1903
101,Yale,1,at,New York HC,2,,,1902-11-30,Non-Conference,1903
97,Yale,3,at,Pitt. Keystones,8,,,1902-12-31,Non-Conference,1903
103,Yale,0,at,Bankers (Pitt.),6,,,1903-01-01,Non-Conference,1903
105,Yale,2,at,Victorias,8,,,1903-01-02,Non-Conference,1903
107,Yale,1,at,Pittsburgh AC,7,,,1903-01-03,Non-Conference,1903
110,MIT,3,at,Harvard,4,,,1903-01-10,Non-Conference,1903
109,Brown,1,at,Princeton,7,,,1903-01-10,Non-Conference,1903
112,Yale,6,at,Columbia,4,,,1903-01-14,Intercollegiate,1903
114,Hope H.S.,2,at,Brown,7,,,1903-01-15,Non-Conference,1903
116,Harvard,4,at,Princeton,1,,,1903-01-17,Intercollegiate,1903
118,Princeton,0,vs.,Cornell,4,,1,1903-01-20,Non-Conference,1903
120,Cornell,0,vs.,Yale,2,,1,1903-01-21,Non-Conference,1903
122,Brown,0,vs.,Yale,2,,1,1903-01-23,Intercollegiate,1903
124,Yale,1,at,Short Hills (NJ),1,ot,,1903-01-24,Non-Conference,1903
126,Harvard,5,at,Columbia,1,,,1903-01-31,Intercollegiate,1903
128,Princeton,4,vs.,Yale,1,,1,1903-02-07,Intercollegiate,1903
130,Brown,1,at,Columbia,5,,,1903-02-16,Non-Conference,1903
132,Queen's,7,vs.,Yale,2,,1,1903-02-17,Non-Conference,1903
134,Harvard,3,vs.,Yale,0,,1,1903-02-21,Intercollegiate,1903
136,Brown,0,vs.,Harvard,6,,1,1903-02-23,Intercollegiate,1903
138,Yale,3,at,Columbia,2,,,1903-02-24,Intercollegiate,1903
140,Harvard,6,vs.,Yale,2,,1,1903-02-27,Intercollegiate,1903
142,Harvard,5,vs.,Yale,1,,1,1903-02-28,Intercollegiate,1903
157,Mohegan Lake Sch,4,at,Army,1,,,1903-11-30,Non-Conference,1904
156,Newburgh Alumni,3,at,Army,4,,,1903-11-30,Non-Conference,1904
154,Kingston Militar,0,at,Army,11,,,1903-11-30,Non-Conference,1904
153,Riverview A.C.,1,at,Army,8,,,1903-11-30,Non-Conference,1904
155,Holbrook,0,at,Army,8,,,1903-11-30,Non-Conference,1904
152,Newburgh Academy,1,at,Army,7,,,1903-11-30,Non-Conference,1904
144,Yale,3,at,New York HC,3,,,1903-12-16,Non-Conference,1904
146,Princeton,2,vs.,Yale,2,,1,1903-12-29,Non-Conference,1904
148,Princeton,1,vs.,Yale,2,,1,1903-12-30,Non-Conference,1904
150,Princeton,2,vs.,Yale,1,,1,1903-12-31,Non-Conference,1904
159,Yale,4,at,Pittsburgh AC,10,,,1904-01-01,Non-Conference,1904
161,Yale Alumni,4,at,Yale,2,,,1904-01-06,Non-Conference,1904
163,Brown,0,at,Princeton,1,,,1904-01-09,Non-Conference,1904
165,Yale,5,at,Columbia,2,,,1904-01-16,Intercollegiate,1904
167,Brown,2,at,Andover Acad.,1,,,1904-01-20,Non-Conference,1904
169,Brown,0,vs.,Yale,10,,2,1904-01-27,Intercollegiate,1904
171,Harvard,2,at,Columbia,0,,,1904-01-30,Intercollegiate,1904
173,Brown,3,at,Harvard,7,,,1904-02-03,Intercollegiate,1904
175,Brown,0,at,Columbia,3,,,1904-02-06,Non-Conference,1904
177,Princeton,3,vs.,Yale,4,,2,1904-02-15,Intercollegiate,1904
179,Harvard,5,vs.,Yale,2,,2,1904-02-22,Intercollegiate,1904
181,Columbia,2,vs.,18,0,,2,1904-02-24,Non-Conference,1904
183,Harvard,4,vs.,Yale,3,,2,1904-02-27,Intercollegiate,1904
203,Newburgh Academy,0,at,Army,4,,,1904-11-30,Non-Conference,1905
202,Brooklyn Poly. I,2,at,Army,6,,,1904-11-30,Non-Conference,1905
201,St. Paul's Schoo,2,at,Army,1,,,1904-11-30,Non-Conference,1905
200,Riverview M.A.,0,at,Army,2,,,1904-11-30,Non-Conference,1905
199,Mohegan Lake Sch,1,at,Army,2,,,1904-11-30,Non-Conference,1905
198,"Essex Troop, NJN",0,at,Army,2,,,1904-11-30,Non-Conference,1905
197,Newburgh Alumni,0,at,Army,3,,,1904-11-30,Non-Conference,1905
196,New York A.C.,3,at,Yale,4,,,1904-11-30,Non-Conference,1905
195,Yale Alumni,9,at,Yale,6,,,1904-11-30,Non-Conference,1905
193,Yale Alumni,4,at,Yale,7,,,1904-11-30,Non-Conference,1905
192,Yale Alumni,3,at,Yale,9,,,1904-11-30,Non-Conference,1905
205,Mohegan Lake Sch,2,at,Army,3,,,1904-12-01,Non-Conference,1905
185,Toronto,2,vs.,Yale,1,,1,1904-12-28,Non-Conference,1905
187,All Scholastic,1,vs.,Yale,2,,1,1904-12-29,Non-Conference,1905
189,Toronto,3,vs.,Yale,2,,1,1904-12-30,Non-Conference,1905
191,Toronto,7,vs.,Yale,3,,1,1904-12-31,Non-Conference,1905
207,Hope H.S.,3,at,Brown,2,,,1905-01-07,Non-Conference,1905
209,Brown,0,at,Princeton,6,,,1905-01-11,Non-Conference,1905
210,MIT,0,at,Harvard,25,,,1905-01-11,Non-Conference,1905
212,Columbia,0,at,Harvard,5,,,1905-01-14,Intercollegiate,1905
214,Yale,9,at,Columbia,3,,,1905-01-18,Intercollegiate,1905
216,Harvard,6,at,Princeton,5,,,1905-01-21,Intercollegiate,1905
218,Brown,0,at,Yale,11,,,1905-01-28,Intercollegiate,1905
220,Brown,2,at,Columbia,5,,,1905-02-04,Non-Conference,1905
222,Harvard,15,at,Brown,1,,,1905-02-08,Intercollegiate,1905
224,Princeton,3,at,Yale,9,,,1905-02-11,Intercollegiate,1905
226,Harvard,7,vs.,Yale,1,,2,1905-02-18,Intercollegiate,1905
240,Berkeley,0,at,Army,4,,,1905-11-30,Non-Conference,1906
239,Trinity,9,at,Army,7,,,1905-11-30,Non-Conference,1906
238,Kingston Militar,1,at,Army,8,,,1905-11-30,Non-Conference,1906
237,New York HC,5,at,Yale,4,,,1905-11-30,Non-Conference,1906
242,Brooklyn Poly. I,1,at,Army,2,,,1905-11-30,Non-Conference,1906
243,48,2,at,Army,3,,,1905-11-30,Non-Conference,1906
241,St. Paul's Schoo,0,at,Army,6,,,1905-11-30,Non-Conference,1906
235,New York A.C.,5,at,Yale,5,,,1905-11-30,Non-Conference,1906
228,Brown,0,vs.,Yale,7,,1,1905-12-27,Non-Conference,1906
230,Brown,1,vs.,Yale,7,,1,1905-12-28,Non-Conference,1906
232,Brown,1,vs.,Yale,3,,1,1905-12-29,Non-Conference,1906
234,Yale,5,at,Carnegie Tech,0,,,1905-12-30,Non-Conference,1906
245,Brown,4,at,Princeton,5,,,1906-01-10,Non-Conference,1906
247,Harvard,7,at,Columbia,0,,,1906-01-13,Intercollegiate,1906
249,Brown,0,at,Yale,9,,,1906-01-17,Intercollegiate,1906
253,Brown,0,at,Andover Acad.,3,,,1906-01-20,Non-Conference,1906
251,Harvard,3,at,Princeton,2,,,1906-01-20,Intercollegiate,1906
255,Yale,4,at,Columbia,0,,,1906-01-27,Intercollegiate,1906
257,Brown,1,at,Columbia,2,,,1906-02-03,Non-Conference,1906
259,Brown,0,at,Harvard,4,,,1906-02-07,Intercollegiate,1906
261,Princeton,0,at,Yale,3,,2,1906-02-10,Intercollegiate,1906
263,Harvard,4,vs.,Yale,3,ot,3,1906-02-17,Intercollegiate,1906
275,Riverview M.A.,3,at,Army,0,,,1906-11-30,Non-Conference,1907
274,Newburgh Academy,0,at,Army,6,,,1906-11-30,Non-Conference,1907
273,London Field Clu,3,at,Army,0,,,1906-11-30,Non-Conference,1907
272,RPI,2,at,Army,1,,,1906-11-30,Non-Conference,1907
271,Cutler School,1,at,Army,7,,,1906-11-30,Non-Conference,1907
269,St. Paul's Schoo,2,at,Army,0,,,1906-11-30,Non-Conference,1907
268,Albany H.S,12,at,Army,0,,,1906-11-30,Non-Conference,1907
267,Trinity,0,at,Army,1,,,1906-11-30,Non-Conference,1907
270,Cornell,4,at,Army,0,,,1906-11-30,Non-Conference,1907
265,New York HC,5,at,Yale,2,,,1906-12-16,Non-Conference,1907
277,Yale,2,at,Carnegie Tech,0,,,1907-01-02,Non-Conference,1907
279,Yale,2,at,Western U. Penn,0,,,1907-01-03,Non-Conference,1907
281,Queen's,1,vs.,Yale,0,,1,1907-01-04,Non-Conference,1907
283,Queen's,2,vs.,Yale,0,,1,1907-01-05,Non-Conference,1907
285,MIT,0,vs.,Harvard,8,,2,1907-01-10,Non-Conference,1907
287,Harvard,7,at,Columbia,0,,,1907-01-12,Intercollegiate,1907
289,Dartmouth,4,vs.,Yale,2,,3,1907-01-16,Intercollegiate,1907
291,Harvard,3,at,Princeton,4,,,1907-01-19,Intercollegiate,1907
293,Yale,4,at,Columbia,3,ot,,1907-01-26,Intercollegiate,1907
295,Dartmouth,3,at,Harvard,12,,,1907-02-07,Intercollegiate,1907
297,Princeton,2,vs.,Yale,1,,3,1907-02-09,Intercollegiate,1907
299,49,0,at,Cornell,7,,,1907-02-09,Non-Conference,1907
300,McGill,8,at,Harvard,2,,,1907-02-09,Non-Conference,1907
302,Harvard,3,vs.,Yale,2,,3,1907-02-16,Intercollegiate,1907
304,Army,0,at,Cornell,4,,,1907-02-16,Non-Conference,1907
315,Albany H.S,1,at,Army,3,,,1907-11-30,Non-Conference,1908
314,Trinity,0,at,Army,6,,,1907-11-30,Non-Conference,1908
313,Riverview M.A.,1,at,Army,5,,,1907-11-30,Non-Conference,1908
312,MIT,1,at,Army,2,,,1907-11-30,Non-Conference,1908
311,NYNG 7th Regimen,0,at,Army,1,,,1907-11-30,Non-Conference,1908
309,Cornell,2,at,Army,0,,,1907-11-30,Non-Conference,1908
308,Phila. Wanderers,10,at,Yale,3,,,1907-11-30,Non-Conference,1908
307,Yale,1,at,St. Nick's,3,,,1907-11-30,Non-Conference,1908
306,Cascadilla,0,at,Cornell,5,,,1907-11-30,Non-Conference,1908
310,Pawling School,3,at,Army,2,,,1907-11-30,Non-Conference,1908
317,Crescent AC,6,vs.,Yale,1,,1,1908-01-04,Non-Conference,1908
319,Harvard,14,at,Columbia,1,,,1908-01-11,Intercollegiate,1908
321,Dartmouth,3,at,Yale,9,,,1908-01-15,Intercollegiate,1908
323,Harvard,6,at,Princeton,2,,,1908-01-18,Intercollegiate,1908
325,Cornell,2,at,Army,0,,,1908-01-18,Non-Conference,1908
327,Yale,10,at,Columbia,1,,,1908-01-24,Intercollegiate,1908
329,McGill,2,at,Harvard,8,,,1908-01-25,Non-Conference,1908
331,49,0,at,Cornell,10,,,1908-01-28,Non-Conference,1908
333,Cornell,4,at,RPI,0,,,1908-01-31,Non-Conference,1908
335,MIT,1,at,Yale,7,,,1908-02-05,Non-Conference,1908
337,Dartmouth,3,at,Harvard,10,,,1908-02-08,Intercollegiate,1908
338,Princeton,4,at,Yale,6,,,1908-02-08,Intercollegiate,1908
340,Crescent AC,4,at,Yale,1,,,1908-02-13,Non-Conference,1908
342,Harvard,2,vs.,Yale,3,,1,1908-02-15,Intercollegiate,1908
344,Harvard,4,at,Bishop's,0,,,1908-02-22,Non-Conference,1908
355,Pawling School,1,at,Army,1,,,1908-11-30,Non-Conference,1909
354,Brooklyn Poly. I,2,at,Army,1,,,1908-11-30,Non-Conference,1909
353,Williams,8,vs.,Cornell,2,,4,1908-11-30,Non-Conference,1909
346,Phila. Wanderers,3,vs.,Yale,0,,1,1908-12-14,Non-Conference,1909
348,Yale,4,at,Carnegie Tech,2,,,1908-12-29,Non-Conference,1909
351,Princeton,2,vs.,Yale,0,,3,1908-12-31,Non-Conference,1909
350,Pennsylvania,2,vs.,Cornell,2,,2,1908-12-31,Non-Conference,1909
357,Pennsylvania,1,vs.,Cornell,2,,2,1909-01-01,Non-Conference,1909
358,Princeton,1,vs.,Yale,0,,3,1909-01-01,Non-Conference,1909
360,Princeton,4,vs.,Yale,0,,3,1909-01-02,Non-Conference,1909
362,MIT,0,vs.,Harvard,1,,5,1909-01-07,Non-Conference,1909
364,Harvard,5,at,Columbia,1,,,1909-01-09,Intercollegiate,1909
366,Williams,2,at,Harvard,10,,,1909-01-13,Non-Conference,1909
368,Dartmouth,3,at,Yale,2,,,1909-01-15,Intercollegiate,1909
370,Harvard,3,at,Princeton,2,,,1909-01-16,Intercollegiate,1909
372,RPI,2,at,Yale,3,,,1909-01-22,Non-Conference,1909
374,Louden FC,3,at,Yale,2,,,1909-01-23,Non-Conference,1909
376,St. Francis Xav.,0,at,Harvard,1,,,1909-01-25,Non-Conference,1909
378,Laval,0,at,Harvard,3,,,1909-01-27,Non-Conference,1909
380,Cornell,2,at,RPI,3,,,1909-01-29,Non-Conference,1909
382,Cornell,3,vs.,Yale,6,,1,1909-01-30,Intercollegiate,1909
384,Columbia,4,at,Yale,11,,,1909-02-03,Intercollegiate,1909
386,Cornell,0,at,Dartmouth,1,,,1909-02-05,Non-Conference,1909
388,Phila. Wanderers,3,vs.,Yale,2,,1,1909-02-06,Non-Conference,1909
390,Princeton,5,vs.,Yale,5,,1,1909-02-13,Intercollegiate,1909
392,Harvard,5,vs.,Yale,0,,1,1909-02-20,Intercollegiate,1909
394,Dartmouth,0,vs.,Harvard,1,,1,1909-02-22,Intercollegiate,1909
410,Pennsylvania,0,at,Army,0,,,1909-11-30,Non-Conference,1910
409,Springfield Trai,1,at,Army,1,,,1909-11-30,Non-Conference,1910
408,MIT,3,at,Army,0,,,1909-11-30,Non-Conference,1910
407,RPI,3,at,Army,0,,,1909-11-30,Non-Conference,1910
404,Princeton,1,at,Army,0,,,1909-11-30,Non-Conference,1910
405,Columbia,0,at,Army,0,,,1909-11-30,Non-Conference,1910
406,NYNG 7th Regimen,4,at,Army,0,,,1909-11-30,Non-Conference,1910
396,Yale,4,at,Carnegie Tech,1,,,1909-12-28,Non-Conference,1910
398,Princeton,2,vs.,Yale,1,,1,1909-12-29,Non-Conference,1910
400,Princeton,1,vs.,Yale,2,,1,1909-12-30,Non-Conference,1910
402,Princeton,5,vs.,Yale,2,,1,1909-12-31,Non-Conference,1910
412,Cornell,3,vs.,Yale,5,,2,1910-01-01,Non-Conference,1910
414,Cornell,2,vs.,Yale,4,,2,1910-01-03,Non-Conference,1910
416,Cornell,3,vs.,Yale,1,,2,1910-01-04,Non-Conference,1910
418,Princeton,1,vs.,Cornell,0,,3,1910-01-05,Intercollegiate,1910
420,MIT,1,at,Harvard,4,,,1910-01-05,Non-Conference,1910
422,Cornell,0,vs.,Harvard,5,,3,1910-01-08,Intercollegiate,1910
424,Columbia,0,at,Harvard,6,,,1910-01-12,Intercollegiate,1910
426,Harvard,0,at,Princeton,3,,,1910-01-15,Intercollegiate,1910
428,Yale,5,at,Mass. Agricultural,3,,,1910-01-16,Non-Conference,1910
430,Princeton,2,vs.,Yale,1,,3,1910-01-26,Intercollegiate,1910
432,MIT,0,at,Yale,3,,,1910-02-01,Non-Conference,1910
434,Cornell,3,vs.,Yale,1,,3,1910-02-05,Intercollegiate,1910
436,St. Francis Xav.,4,at,Harvard,1,,,1910-02-05,Non-Conference,1910
438,Columbia,1,at,Yale,5,,,1910-02-10,Intercollegiate,1910
442,Yale,3,at,St. Paul's Schoo,4,,,1910-02-12,Non-Conference,1910
440,Dartmouth,0,at,Harvard,5,,,1910-02-12,Intercollegiate,1910
444,Dartmouth,3,at,Yale,5,,,1910-02-16,Intercollegiate,1910
446,Harvard,3,vs.,Yale,0,,3,1910-02-19,Intercollegiate,1910
448,Columbia,1,vs.,Cornell,7,,3,1910-02-26,Intercollegiate,1910
471,Amherst,2,at,Army,0,,,1910-11-30,Non-Conference,1911
470,Springfield Trai,2,at,Army,1,,,1910-11-30,Non-Conference,1911
469,Williams,3,at,Army,2,,,1910-11-30,Non-Conference,1911
468,Stevens Tech,0,at,Army,3,,,1910-11-30,Non-Conference,1911
450,Crescent AC,7,at,Yale,3,,,1910-12-10,Non-Conference,1911
452,MIT,3,vs.,Harvard,4,,1,1910-12-14,Non-Conference,1911
454,Mass. Agricultural,0,at,Harvard,10,,,1910-12-17,Non-Conference,1911
456,St. Paul's,3,at,Yale,9,,,1910-12-21,Non-Conference,1911
458,Princeton,5,vs.,Yale,4,,2,1910-12-27,Non-Conference,1911
460,Princeton,5,vs.,Yale,6,,2,1910-12-28,Non-Conference,1911
462,Princeton,4,vs.,Yale,3,,2,1910-12-29,Non-Conference,1911
464,Cornell,4,vs.,Yale,3,,3,1910-12-30,Non-Conference,1911
466,Cornell,3,vs.,Yale,1,,4,1910-12-31,Non-Conference,1911
473,Cornell,4,vs.,Yale,2,,4,1911-01-02,Non-Conference,1911
475,Cornell,5,at,Case,1,,,1911-01-03,Non-Conference,1911
477,Cornell,13,at,Western Reserve,0,,,1911-01-04,Non-Conference,1911
479,McGill,5,at,Harvard,2,,,1911-01-07,Non-Conference,1911
481,Columbia,6,at,Yale,4,,,1911-01-11,Intercollegiate,1911
483,St. Francis Xav.,2,at,Harvard,8,,,1911-01-11,Non-Conference,1911
486,Princeton,1,vs.,Cornell,4,,5,1911-01-14,Intercollegiate,1911
485,Dartmouth,2,at,Yale,7,,,1911-01-14,Intercollegiate,1911
488,Columbia,0,at,Harvard,5,,,1911-01-16,Intercollegiate,1911
490,Princeton,1,at,Harvard,5,,,1911-01-21,Intercollegiate,1911
491,Cornell,4,vs.,Yale,2,,5,1911-01-21,Intercollegiate,1911
493,Cornell,3,at,Harvard,2,,,1911-01-28,Intercollegiate,1911
494,Princeton,0,at,Yale,1,,,1911-01-28,Intercollegiate,1911
496,Louden FC,3,at,Yale,4,,,1911-02-01,Non-Conference,1911
498,S'field Training,3,at,Yale,7,,,1911-02-02,Non-Conference,1911
500,Mass. Agricultural,6,at,Yale,1,,,1911-02-03,Non-Conference,1911
502,Dartmouth,1,at,Harvard,12,,,1911-02-04,Intercollegiate,1911
504,Columbia,0,vs.,Cornell,4,,5,1911-02-10,Intercollegiate,1911
506,Dartmouth,1,vs.,Cornell,5,,1,1911-02-18,Intercollegiate,1911
507,Harvard,3,vs.,Yale,2,,5,1911-02-18,Intercollegiate,1911
526,RPI,1,at,Army,2,,,1911-11-30,Non-Conference,1912
523,Stevens Tech,0,at,Army,5,,,1911-11-30,Non-Conference,1912
524,Amherst,1,at,Army,1,,,1911-11-30,Non-Conference,1912
525,MIT,10,at,Army,0,,,1911-11-30,Non-Conference,1912
509,St. Paul's,1,at,Yale,2,,,1911-12-20,Non-Conference,1912
511,MIT,4,at,Harvard,21,,,1911-12-21,Non-Conference,1912
513,Niagara Falls,2,vs.,Cornell,5,,1,1911-12-26,Non-Conference,1912
515,Niagara Falls,4,vs.,Cornell,3,,1,1911-12-27,Non-Conference,1912
517,Princeton,4,vs.,Yale,1,,2,1911-12-28,Non-Conference,1912
519,Princeton,6,vs.,Yale,2,,2,1911-12-29,Non-Conference,1912
521,Princeton,3,vs.,Yale,4,,2,1911-12-30,Non-Conference,1912
528,Cornell,1,vs.,Yale,5,,1,1912-01-01,Non-Conference,1912
530,Cornell,0,vs.,Yale,1,,1,1912-01-02,Non-Conference,1912
532,Cornell,3,vs.,Yale,0,,1,1912-01-03,Non-Conference,1912
534,Columbia,6,vs.,Cornell,1,,1,1912-01-06,Intercollegiate,1912
536,Harvard,3,at,Princeton,2,,,1912-01-10,Non-Conference,1912
540,MIT,3,at,Yale,5,,,1912-01-13,Non-Conference,1912
538,Princeton,6,vs.,Cornell,1,,1,1912-01-13,Intercollegiate,1912
542,Cornell,1,vs.,Yale,2,,3,1912-01-20,Intercollegiate,1912
544,Princeton,3,at,Harvard,2,,,1912-01-20,Non-Conference,1912
546,Mass. Agricultural,0,at,Yale,3,,,1912-01-24,Non-Conference,1912
548,Princeton,4,vs.,Yale,1,,3,1912-01-27,Intercollegiate,1912
550,Cornell,2,at,Harvard,3,,,1912-01-27,Non-Conference,1912
552,St. Francis Xav.,2,at,Harvard,7,,,1912-01-31,Non-Conference,1912
553,S'field Training,1,at,Yale,4,,,1912-01-31,Non-Conference,1912
555,McGill,0,at,Harvard,3,,,1912-02-03,Non-Conference,1912
556,St. Nick's,2,at,Yale,3,,,1912-02-03,Non-Conference,1912
558,Dartmouth,3,at,Harvard,7,,,1912-02-09,Non-Conference,1912
560,Yale,4,at,Columbia,7,,,1912-02-10,Intercollegiate,1912
562,Dartmouth,3,at,Yale,4,,,1912-02-14,Intercollegiate,1912
564,Yale,0,at,Harvard,4,,,1912-02-17,Intercollegiate,1912
566,Harvard,2,at,Yale,3,,,1912-02-21,Intercollegiate,1912
568,Dartmouth,2,vs.,Cornell,5,,4,1912-02-22,Intercollegiate,1912
570,Harvard,4,at,Yale,2,,,1912-02-24,Intercollegiate,1912
584,NYU,2,at,Army,7,,,1912-11-30,Non-Conference,1913
583,Norwich,0,at,Army,4,,,1912-11-30,Non-Conference,1913
587,N.Y. Military Ac,0,at,Army,27,,,1912-11-30,Non-Conference,1913
585,Trinity,0,at,Army,3,,,1912-11-30,Non-Conference,1913
582,MIT,5,at,Army,0,,,1912-11-30,Non-Conference,1913
586,Amherst,0,at,Army,1,,,1912-11-30,Non-Conference,1913
572,MIT,0,vs.,Harvard,4,,1,1912-12-18,Non-Conference,1913
574,St. Paul's,4,vs.,Yale,2,,2,1912-12-19,Non-Conference,1913
576,Princeton,5,vs.,Cornell,1,,3,1912-12-26,Non-Conference,1913
578,Princeton,5,vs.,Cornell,3,,3,1912-12-27,Non-Conference,1913
580,Princeton,7,vs.,Cornell,1,,3,1912-12-28,Non-Conference,1913
589,McGill,2,vs.,Yale,0,,1,1913-01-02,Non-Conference,1913
591,Ottawa,2,at,Harvard,0,,,1913-01-06,Non-Conference,1913
593,Yale,6,at,430,0,,,1913-01-08,Non-Conference,1913
595,Princeton,9,vs.,Cornell,0,,4,1913-01-11,Intercollegiate,1913
597,Toronto,0,at,Harvard,2,,,1913-01-15,Non-Conference,1913
599,Cornell,2,at,Harvard,8,,,1913-01-18,Non-Conference,1913
600,Princeton,7,vs.,Yale,5,,2,1913-01-18,Non-Conference,1913
602,Princeton,3,at,Harvard,5,,,1913-01-22,Non-Conference,1913
604,Mass. Agricultural,3,at,Harvard,9,,,1913-01-27,Non-Conference,1913
606,Yale,0,at,Harvard,4,,,1913-02-01,Non-Conference,1913
608,Dartmouth,1,at,Harvard,3,,,1913-02-05,Non-Conference,1913
610,Dartmouth,3,vs.,Yale,2,,2,1913-02-07,Non-Conference,1913
612,Harvard,1,at,Princeton,3,,,1913-02-08,Non-Conference,1913
613,Yale Freshmen,1,at,Yale,7,,,1913-02-08,Non-Conference,1913
